"title","link","category","starttime","endtime","location","chairs","session_text"
"SEPC Welcome Breakfast and Meet and Greet","http://conference.collegeart.org/programs/sepc-welcome-breakfast-and-meet-and-greet/","Student & Emerging Professionals",2015-02-12 08:30:00,2015-02-12 09:45:00,NA,NA,"Please join us for coffee and conversation. The Student and Emerging Professionals Committee members will be present to tell you about their programming at the conference and answer questions."
"Women’s Caucus for ArtThe Difference Disability Makes: Disability, Community, and Art","http://conference.collegeart.org/programs/womens-caucus-for-artthe-difference-disability-makes-disability-community-and-art/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 3rd Floor, East Ballroom","Petra Kuppers, University of Michigan","The Space in Between; Chanika Svetvilas, Goddard College; Art and Design with Care; Brian Goldfarb, University of California, San Diego; Appropriating Mad Stories in Community Arts: Conforming to a Neoliberal Agenda of Biomedical Mental Health Literacy; Jenna Allison Reid, York University; Curating Raw Beauty; Elizabeth Va; rragon, Calvin College; When Pain Eats the Picture; Riva B. Lehrer, School of the Art Institute of Chicago; The Salamander Project: Participatory Performance Practices and Disability Culture; Petra Kuppers, University of Michigan"
"Unfolding the Enlightenment","http://conference.collegeart.org/programs/unfolding-the-enlightenment/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Beekman Parlor","Alyce Mahon, University of Cambridge; Nebahat Avcioglu, Hunter College, City University of New York","William Hogarth’s “Bathos” and the End of Beauty; Thomas R. Beachdel, The Graduate Center, City University of New York; Embodied Cognition: Vitalism and Neoclassical Fashion; Amelia F. Rauser, Franklin & Marshall College; Enlightenment Thought and the Visual Arts in Qajar Iran; Maryam D. Ekhtiar, The Metropolitan Museum of Art; Producing Monsters: Eric Avery’s Prints, The Sleep of Reason from Behind and Chimera; Rena M. Hoisington, The Baltimore Museum of Art; Ordnung und Reinlichkeit; Stefaan Vervoort, Ghent University"
"Dance in the Art Museum","http://conference.collegeart.org/programs/dance-in-the-art-museum/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Gramercy A","Jennie Goldstein, Stony Brook University, State University of New York; Amanda Jane Graham, Northwestern University","Moving Bodies/Moving Images: Dancing with Video in the Teaching Museum; Elizabeth Finch, Colby College Museum of Art; The Choreographers Are Present: Archiving Dance in Museums; Rosemary Candelario, Texas Woman’s University; Curating “Liveness”: Dancing around the Bride at the Philadelphia Museum of Art; Erica Battle, Philadelphia Museum of Art; Re: Performance (A Memo to Museum Curators)Juliet Bellow, American University"
"Seeing Others Seeing: Interpersonal Experience in Contemporary Art","http://conference.collegeart.org/programs/seeing-others-seeing-interpersonal-experience-in-contemporary-art/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 3rd Floor, Rendezvous Trianon","Cristina Albu, University of Missouri–Kansas City; Dawna L. Schuld, Indiana University","Perceptual Contrast and Social Tension in Allan Kaprow’s Push and Pull: A Furniture Comedy for Hans Hofmann; Emily Ruth Capper, University of Chicago; Michael Fried’s “Art and Objecthood”: Early and Late Merleau-Pontian Views; Robert Hobbs, Virginia Commonwealth University; Venezuelan Cinetismo and the Phenomenal Frame of Democracy; Juan C. Ledezma, independent scholar; Gérard Fromanger’s Souffles and the Politics of Phenomenal Art; Sami Siegelbaum, D; aul University; “Not Directed Toward Anyone”: The Indifference of a Situation; Christine Ross, M; ill University"
"Science Is Measurement: Nineteenth-Century Science, Art, and Visual Culture, Part I","http://conference.collegeart.org/programs/science-is-measurement-nineteenth-century-science-art-and-visual-culture-part-i/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Sutton Parlor South","Nancy Marshall, University of Wisconsin–Madison","Grasping the Elusive: Pre-Raphaelite Personifications of the Wind and Victorian Weather Maps; Carey Gibbons, Courtauld Institute of Art; Blaze Like a Comet: William Dyce and Heavenly Perception in an Age of Uncertainty; Jason M. Rosenfeld, Marymount Manhattan College; Shot through the Heart: Winslow Homer’s Nonmechanical Objectivity; Anne Elizabeth Ronan, Stanford University; Vivisection and the Visual Arts; Jeremy Melius, Tufts University; Distorted Flesh: Illustrating Dissection in Victorian Britai; eren Rosa Hammerschlag, Georgetown University"
"The Turbulent Decade: East Asian Art in the Global 1960s","http://conference.collegeart.org/programs/the-turbulent-decade-east-asian-art-in-the-global-1960s/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 3rd Floor, Petit Trianon","Thomas O’Leary, Saddleback College","Contagious Gestures in a Time of Aphasia: Oshima Nagisa in 1968; Shota Tsai Ogawa, University of Rochester; Setting China Apart: Collectivity in Propaganda Art during the Cultural Revolution; Wing Yi Tsang, Wells College; Picturing Sovereignty: Modernity via the Province in Early People’s Republic of China; Yang Wang, The Ohio State University; Towards a New Ecology; Ming Tiampo, Carleton University; Art in Japan after the 1960 US-Japan Security Treaty Crisis; Nick Kapur, Rutgers University–Camden"
"The Global History of Design and Material Culture","http://conference.collegeart.org/programs/the-global-history-of-design-and-material-culture/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Sutton Parlor North","Paul Stirton, Bard Graduate Center","Writing and Editing the New History of Design: Decorative Arts and Material Culture 1400–2000; Patricia Anne Kirkham, Bard Graduate Center; Writing a World History of Design: What I Have Learned; Victor Margolin, University of Illinois at Chicago; Design Worlds: National Design Histories in an Age of Globalization; Grace Lees-Maffei, University of Hertfordshire; Kjetil Fallan, University of Oslo; A Global History of Design: Assembling Fragments; Daniel J. Huppatz, Swinburne University; The Canon and Beyond: A Proposal for Teaching the History of Modern Design; David Raizman, Drexel University"
"Early Modern Cross-Cultural Conversions","http://conference.collegeart.org/programs/early-modern-cross-cultural-conversions/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Regent Parlor","Bronwen Wilson, Sainsbury Institute for Art; Claudia Swan, Northwestern University","Imperial Designs: The Architecture of Historical Transformations in Fourteenth-Century Venetian Power; Hilary A. Haakenson, Rutgers, The State University of New Jersey; “Tears Hardened by the Sun”: The Discursive Lives of Baltic Amber in Italy; Tomasz Grusiecki, M; ill University; From Divine Relic to Magical Artifact; Ivana Horacek, University of British Columbia; Paper, Ink, Vodun, and the Inquisition; Cecile Fromont, University of Chicago; Cross-Cultural Caprice and Cosmopolitanism in Early Eighteenth-Century “British” Art; Sarah Monks, University of East Anglia"
"Imagining a US Latina/o Art History, Part I","http://conference.collegeart.org/programs/imagining-a-us-latinao-art-history-part-i/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 3rd Floor, Trianon Ballroom","Adriana Zavala, Tufts University","Curating a Meaningless Category: The Critical Reception of Our America: The Latino Presence in American Art; E. Carmen Ramos, Smithsonian American Art Museum; Searching for Useful Frameworks: Latino Art at the National Portrait Gallery; Taina B. Caragol, National Portrait Gallery; Double Bind, Double Blind: Exhibiting “Non-Latino” Art by Latino Artists; Sonja Elena Gandert, Herbert F. Johnson Museum of Art; Speaking the Unspeakable: Sexual Disclosures in Chicana/o Art History; Robb Hernandez, University of California, Riverside; Discussant: Constance Cortez, Texas Tech University"
"Public Art DialogueMuseums and Public Art: Coexistence or Collaboration?","http://conference.collegeart.org/programs/public-art-dialoguemuseums-and-public-art-coexistence-or-collaboration/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 3rd Floor, West Ballroom","Harriet Senie, City College, City University of New York; Cher Krause Knight, Emerson College","False Advertising? Public Art and Monographic Exhibitions; Kasia Ozga, University of Paris VIII; “Western Exposure”: The Contemporary Art Museum, Public Art, and the Global City; Glenn Wallace, University of Sydney; Sites of Counter Culture: Navigating a Future Bowery; Andrew Wasserman, Louisiana Tech University; Raising Expectations for the Public Sphere; Carole Anne Meehan, Auckland Council"
"Guerilla Approaches to the Decorative Arts and Design","http://conference.collegeart.org/programs/guerilla-approaches-to-the-decorative-arts-and-design/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 3rd Floor, Mercury Ballroom,","Haneen Rabie, Princeton University; Catherine L. Whalen, The Bard Graduate Center","The Case for a Legal History of Industrial Design; Carma R. Gorman, University of Texas at Austin; Familiarity And Strangeness in “Ethnic” Restaurant Design: Inventing Place and Improvising Scholarship; Andrea Quintero, Yale University; Object Thinking/Objective Thinking: Design and Timothy Morton’s Aesthetic Causality; Lisa S. Banu, independent scholar; The Realignment of Medium Hierarchies in Nineteenth-Century French Art: Félix Bracquemond, Eugène Rousseau, and the Ceramic Dinner Service of 1866; Sonia Coman, Columbia University; From the Margins to the Mainstream: Enfranchising the Decorative Arts in Academic and Civic Life; Eliza Jane Reilly, National Center for Science and Civic Engagement; Philip D. Zimmerman, Franklin and Marshall College"
"Patron of Diversity: The Golden State, the People’s University, and the “Rise of the Rest”","http://conference.collegeart.org/programs/patron-of-diversity-the-golden-state-the-peoples-university-and-the-rise-of-the-rest/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Bryant Suite","Elaine O’Brien, California State University, Sacramento","The Tenured Shaman: Frank L; ena and the California Indian Renaissance; Elaine J. O’Brien, California State University, Sacramento; Expanding Doggerelism: Ulysses Jenkins’ Artistic and Teaching Experiences; Emilie Blanc, University of Rennes 2; The Artistic Legacy of the Mexican American Education Project at California State University, Sacramento; Ella Maria Diaz, Cornell University; How I Became a Feminist Performance Artist; Vicki Ann Hall, California State University, Sacramento"
"The Art and Architecture of Religious Pluralism","http://conference.collegeart.org/programs/the-art-and-architecture-of-religious-pluralism/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Morgan Suite","Timothy Parker, Norwich University","New Harmony: Modern Architecture, Landscape, and Preservation in the Service of Spiritual Pluralism; Michelangelo Sabatino, University of Houston; Louise Nevelson’s Spiritual Environments for Temple Beth-El and St. Peter’s Lutheran Church: The Ecumenical, Transcendent Power of Abstract Sculpture; Herbert R. Hartel, Jr.; Isn’t It Divine? How Medieval Iberian Builders Used Sacred Landscape to Build an Interfaith Coalition; Kelly Watt, Washburn University; Imagining Ecumenism: Liturgical Arts and the “Interfaith Church” in the 1960s; Catherine R. Osborne, University of Notre Dame; After Saarinen’s MIT Chapel: Interfaith Spaces for the American University; Margaret M. Grubiak, Villanova University"
"Indigenous Contemporary Art","http://conference.collegeart.org/programs/indigenous-contemporary-art/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Gramercy B","Kate Morris, Santa Clara University","Ceremony, History, and the Contemporary: Time in Native American Art; Bill Anthes, Pitzer College; Practices of Modeling in Contemporary Native American Art; Alexander Brier Marr, University of Rochester; Space is a Participant: Strategies of Activation and Presence in the Contemporary Practice of Brian Jungen; Denise S. Ryner, University of British Columbia; Stepping Out: Kent Monkman’s Performative Landscape; Kate Morris, Santa Clara University; Site-Singing Sovereignty: Indigenous Voices Reclaiming Public Space; Dylan Robinson, University of British Columbia"
"The Architecture of Synagogues in the Islamic World","http://conference.collegeart.org/programs/the-architecture-of-synagogues-in-the-islamic-world/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Madison Suite","Mohammad Gharipour, Morgan State University","Decorating Synagogues in the Western Islamic World: The Role of Sephardi Traditionalism; Vivian B. Mann, The Jewish Theological Seminary; Tracing the Four Column Tevah Synagogue Type in Ottoman Lands; Samuel D. Gruber, International Survey of Jewish Monuments; Synagogues of the Fez Mellah: Constructing Sacred Spaces in Nineteenth-Century Morocco; Michelle H. Craig, independent scholar; The Architecture and Décor of the Synagogues of Tangier: Modernization and Internationalization of the Jewish Community; Mitchell Serels"
"Your Artist Talk: How to Talk to Anyone Anywhere about Your Art","http://conference.collegeart.org/programs/your-artist-talk-how-to-talk-to-anyone-anywhere-about-your-art/","Workshops",2015-02-12 09:30:00,2015-02-12 11:00:00,NA,NA,"Presenter: Gigi Rosenberg; In this lively, hands-on workshop, artists learn ten tips for giving an outstanding presentation whether it’s to one person or a crowd. From formal artist talks, to informal, social conversations, an artist’s ability to cogently discuss her work can ensure opportunities, connections, and sales. Learn the difference between an elevator speech and an artist statement. Discover how to structure your talk and manage a question and answer session. Explore ideas for where you can start speaking right now. Come prepared to practice with a supportive coach and learn how to use your artist talk to connect with and grow your audience."
"A Social Medium: Photography’s History of Sharing","http://conference.collegeart.org/programs/a-social-medium-photographys-history-of-sharing/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Nassau Suite","Elizabeth Cronin, New York Public Library; Stephen C. Pinson, New York Public Library","Sharing Cigarette Cards and Worldviews: Cartophily and Ideology during the Third Reich; Daniel Howard Magilow, University of Tennessee, Knoxville; Mastering and Sharing the View: The Kodak Picture Spot; Leslie K. Brown, Boston University; Lost and Found: Vernacular Photographs in Online Communities; Rachel E. Snow, University of South Carolina Upstate; A Collective Anti-Archive, or, the Unbearable Lightness of Snapchat; Kate Palmer Albers, University of Arizona; Affective Exclusion: Fiona Tan’s Vox Populi Photographs; Kathryn J. Brown, Tilburg University"
"Media Lounge Video Screenings: Programs 1 and 2","http://conference.collegeart.org/programs/media-lounge-video-screenings-programs-1-and-2-2/","ARTspace",2015-02-12 09:30:00,2015-02-12 12:00:00,"New York Hilton, 2nd Floor, Gibson Room",NA,"PROGRAM 1:; Mobile Strategies Replace Finished Recipes, or in the Words of Gilles Deleuze, “Amid Things but in the Center of Nothing”; A program of videos that explore reenactments of the mundane, exhilarating and bizarre normalcies, popular appropriation, and the skewering of everyday injustices in the art world.; Shana Moulto; estless Leg Saga; 2012, 7:14 min, color, sound; Ryan Trecarti; tem Falls; 2013, 25:44 min, color, sound; Andrew Lamper; aste Test; 2011, 2:40 min, color, sound; Kalup Linz; onversations wit de Churen IV: Play Wit de Churen; 2005, 15:49 min, color, sound; Leslie Thornto; ahara/Mojave; 2006, 12 min, color, sound; C. Spencer Yeh; Spectacle Theater trailer; TBD;  ; PROGRAM 2: ; Infrastructure Interference, or in the Words of Donna Haraway, “In Short, We Are Cyborgs”; A program of short videos featuring arbiters of digital appropriation and intervention, from proto-Yo; ube to pre-Post-Net Art post-net art, from hacked video games to retooled music videos.; Seth Pric; igital Video Effect: “Editions”; 2006, 12 min, color, sound; Paul Slocu; rt Boom Performance; TBD; Dara Birnbau; op-Pop Video; 1980, 9 min, color, sound; Peggy Ahwes; he Puppet; 2001, 15 min, color, sound; JODIMy Desktop OS X 10.4.7; 2007, 7:53 min, color, sound; Jacob Ciocc; ooty Melt; 2008, 3:05 min, color, sound; Jacob Ciocc; he Peace Tape; 2008, 4 min, color, sound; Kristin Luca; able Xcess; 1996, 4:48 min, color, sound; Cory Arcange; each Boys/Geto Boys; 2004, 4:13 min, color, sound"
"THATcamp CAA: What Happened and What’s Next","http://conference.collegeart.org/programs/thatcamp-caa-what-happened-and-whats-next/","Sessions",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Sutton Parlor Center","Joyce Rudinsky, University of North Carolina at Chapel Hill; Victoria Szabo, Duke University",""
"Art Collectives and the Contemporary World","http://conference.collegeart.org/programs/art-collectives-and-the-contemporary-world/","ARTspace",2015-02-12 09:30:00,2015-02-12 12:00:00,"2nd Floor, Murray Hill Suite","Brianne Cohen, Université Catholique de LouvainCo-Chair:  Robert Bailey, University of Oklahoma","Citizen Action: Art Collectives and Contemporary Politics in Serbia and Sloveni; dair Rounthwaite, M; ill University; Stiev Selapak’s Critical Interventions in the Cambodian Contemporar; oger Nelson, University of Melbourne; Political Art from Neoliberal Crisis to “Post-Neoliberalism”: Artists, the State, and Popular Movements in Buenos Aires since 2000Jennifer Sternad, Harvard University"
"Art Collectives and the Contemporary World","http://conference.collegeart.org/programs/art-collectives-and-the-contemporary-world-2/","ARTspace Session",2015-02-12 09:30:00,2015-02-12 12:00:00,"Hilton New York, 2nd Floor, Murray Hill Suite","Brianne Cohen, Université Catholique de Louvain; Robert Bailey, University of Oklahoma","Citizen Action: Art Collectives and Contemporary Politics in Serbia and Slovenia; Adair Rounthwaite, M; ill University; Stiev Selapak’s Critical Interventions in the Cambodian Contemporary; Roger Nelson, University of Melbourne; Political Art from Neoliberal Crisis to “Post-Neoliberalism”: Artists, the State, and Popular Movements in Buenos Aires since 2000; Jennifer Sternad, Harvard University"
"Brown Bag Lunch: Interviewing Strategies and Techniques and Elevator Speech","http://conference.collegeart.org/programs/brown-bag-lunch-interviewing-strategies-and-techniques-and-elevator-speech/","Student & Emerging Professionals",2015-02-12 10:00:00,2015-02-12 11:00:00,NA,NA,""
"Mock Interviews","http://conference.collegeart.org/programs/mock-interviews/","Student & Emerging Professionals",2015-02-12 11:00:00,2015-02-12 13:00:00,NA,NA,"Back by popular demand! In a competitive job market, everyone could use the opportunity to get feedback on interviewing and presentation. Take advantage of this opportunity to have a twenty minute interview followed by ten minutes of feedback from a seasoned professional. Preregistration will be available in early October. There will be VERY limited signup space onsite."
"Chelsea Gallery District Walking Tour","http://conference.collegeart.org/programs/chelsea-gallery-district-walking-tour-2/","Events",2015-02-12 12:00:00,2015-02-12 14:30:00,NA,NA,"Join expert art gallery guide Merrily Kerr on a trip to the Chelsea gallery district, where you will visit the most important and talked-about gallery shows of the moment. Kerr, a New York art critic and writer, has devised an itinerary that includes around six of the season’s most important shows by emerging and established artists working in a variety of disciplines.; Directions: Meet the tour guide in the assembly area in the Hilton Hotel main lobby, main entrance, at 12:00 PM to travel together by public transportation. Round-trip travel will cost $5; please purchase your Metrocard in advance at the subway station."
"Mellon Research Initiative Field/Work: Object and Site, Conservation and the Future of Art","http://conference.collegeart.org/programs/mellon-research-initiative-fieldwork-object-and-site-conservation-and-the-future-of-art/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Institute of Fine Arts, 1st Floor, Lecture Hall, 1 East 78th Street","Michele Marincola, Institute of Fine Arts, New York University","Sanchita Balanchandran, Museum of Modern Art; James L. Coddington, Museum of Modern Art; Jeanne Marie Teutonico, Getty Conservation Institute; Carol Mancusi Ungaro, Whitney Museum of American Art and Harvard Art Museums"
"Women’s Caucus for Art Igniting Regions through Art and Activism","http://conference.collegeart.org/programs/womens-caucus-for-art-igniting-regions-through-art-and-activism/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 3rd Floor, East Ballroom","Catherine Judge, Moongate Studio; Krista Jiannacopoulos, independent artist","Discussant: Marcia Annenberg, independent artist; Stefani Rossi, independent artist"
"Association for Latin American Art Emerging Scholars of Latin American Art","http://conference.collegeart.org/programs/association-for-latin-american-art-emerging-scholars-of-latin-american-art/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Regent Parlor","Margaret Jackson, University of New Mexico","Filling the Lacuna: The Guatemalan Black Christ and New Spanish Art History; Elena Fit; atrick Sifford, Louisiana State University; The Queen of Heaven and the Prince of Angels: Saintly Rivalry in Colonial Mexico; Aubrey Hobart, University of California, Santa Cruz; Violence and Virtue in the Northern Provinces of New Spain: The Politics of Franciscan Martyr Portraits during the Period of Bourbon Reforms; Emmanuel Ortega Rodríguez, University of New Mexico"
"Art Historians of Southern California The Study of Visual Culture in the Age of Zeroes and Ones","http://conference.collegeart.org/programs/art-historians-of-southern-california-the-study-of-visual-culture-in-the-age-of-zeroes-and-ones/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Beekman Parlor","Walter Meyer, Santa Monica College","Lev Manovich, The Graduate Center, City University of New York; Walter J. Meyer, Santa Monica College"
"New Media Caucus Technologies of Wonder","http://conference.collegeart.org/programs/new-media-caucus-technologies-of-wonder/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Sutton Parlor Center","Aleksandra Kaminska, Simon Fraser University","Hackable Bodies; Florence Gouvrist, Ohio State University; Jordi Vallverdú, Universitat Autònoma de Barcelona; Exploring the Deep Blue: Cousteau’s Cameras; Janine Marchessault, York University; Infinite Structures, Infinite Wonder; Robert Gero, State University of New York at Old Westbury; Invisible Worlds: The Nano Scale in Cosmic Times; Aleksandra Kaminska, Simon Fraser University"
"Historians of British Art Home Subjects: Domestic Space and the Arts in Britain, 1753–1900","http://conference.collegeart.org/programs/historians-of-british-art-home-subjects-domestic-space-and-the-arts-in-britain-1753-1900/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 3rd Floor, Rendezvous Trianon","Morna O’Neill, Wake Forest University; Anne Nellis Richter, American University","Astonishing Moderation: Robert Lord Clive at Claremont; Stephen M. Caffey, Texas A&M University; Housing the Art of the Nation: The Home as Museum in Gustav F. Waagen’s Treasures of Art in Great Britain; Emilie Oléron Evans, Queen Mary University of London; “An Alien in the Decorative Community”: The Problem of Pictures in British Domestic Advice Literature; Nicholas Tromans, Watts Gallery; Discussant: Melinda R. M; urdy, The Huntington Library, Art Collections and Botanical Garden"
"Archives of American Art, Smithsonian Institution Handwriting and American Art","http://conference.collegeart.org/programs/archives-of-american-art-smithsonian-institution-handwriting-and-american-art/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Nassau Suite","Mary Savig, Archives of American Art; Akela M. Reason, University of Georgia","Manipulating the Pencil of Nature: Handedness, Technologies of Writing, and the Lure of the Camera in the Work of Eakins; Asma Naeem, National Portrait Gallery; Words of Fulfillment: Practice and Performance in the Art of Sister Gertrude Morgan; Elaine Y. Yau, University of California, Berkeley; Affective Writing: Thoughts on H. C. Westermann’s Correspondence; David P. M; arthy, Rhodes College"
"CAA International Committee Global Art History: Historical Connections","http://conference.collegeart.org/programs/caa-international-committee-global-art-history-historical-connections/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 3rd Floor, Mercury Ballroom","Rosemary O’Neill, Parsons The New School for Design; Gwendoline M. Farrelly, Rhode Island School of Design","Priscilla Arantes, Paço das Artes and Pontifica Universidade Catolica; Jean-Hubert Martin, independent scholar; Parul Dave Mukherji, Jawaharlal Nehru University; Inhee Iris Moon, independent scholar"
"National Council of Arts Administrators Yes Is a World: Creativity in an Expanding Field","http://conference.collegeart.org/programs/national-council-of-arts-administrators-yes-is-a-world-creativity-in-an-expanding-field/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Sutton Parlor North","Jim Hopfensperger, Western Michigan University; Nan E. Goggin, University of Illinois at Urbana­-Champaign","Colin Blakely, Eastern Michigan University; Georgia K. Strange, University of Georgia; Paul Kassel, State University of New York at New Paltz; Gregory W. Shelnutt, Clemson University; Edward Dupuy, Southwest School of Art; Richard Heipp, University of Florida"
"Association of Historians of American Art American Art in Unlikely Places: Exhibitions beyond the Transatlantic Axis","http://conference.collegeart.org/programs/association-of-historians-of-american-art-american-art-in-unlikely-places-exhibitions-beyond-the-transatlantic-axis/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Gramercy A","Alex Taylor, Tate","“The Proud and Magnificent Activity Found in North America”: Art from the United States at the Latin American Centenaries of Independence; Elizabeth Boone, University of Alberta; “The People and Machines of Everyday Life”: Representing US Culture through La Pintura Contemporánea Norteamericana (1941); Berit Potter, University of San Francisco; A Gift to the Children of India: M; A and International Transmission of American Art Pedagogy in the 1960s; Briley Rasmussen, University of Leicester; Rauschenberg’s Overseas Cultural Interchange; Katie A. Pfohl, Louisiana State University Museum of Art"
"CAA Services to Artists Committee Breaking the Rules: The “Other” Career Paths","http://conference.collegeart.org/programs/caa-services-to-artists-committee-breaking-the-rules-the-other-career-paths/","ARTspace Session",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 2nd Floor, Murray Hill Suite","Stacy Miller, Parsons The New School for Design; Niku Kashef, California State University, Northridge, and Woodbury University","Susan Clausen, AS220; Larry Ossei-Mensah, The MEDIUM Group; Steve Englander, ABC No Rio; Amelia Winger-Bearskin, Tisch School for the Arts, ITP, NYU"
"Renaissance Society of AmericaSpatial Histories of the Early Modern Italian City: Social Configurations of Time and Space","http://conference.collegeart.org/programs/renaissance-society-of-americaspatial-histories-of-the-early-modern-italian-city-social-configurations-of-time-and-space/","Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 3rd Floor, Petit Trianon","Karen-Edis Barzman, Binghamton University, State University of New York","Power over the Piazza: Civic Ritual and Quotidian Play in Cinquecento Florence; Kelli Wood, University of Chicago; Unsituated: Intellectual Networks in Early Modern Bologna; Kim S. Sexton, University of Arkansas; Ephemeral Displays of Art in Early Modern Venice; Elsji van Kessel, University of St. Andrews"
"National Gallery of Art, Center for Advanced Study in the Visual Arts","http://conference.collegeart.org/programs/national-gallery-of-art-center-for-advanced-study-for-the-visual-arts/","Receptions",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, 3rd Floor, Grand Ballroom West Foyer",NA,""
"Professional Development Roundtable Discussions","http://conference.collegeart.org/programs/professional-development-roundtable-discussions/","Workshops",2015-02-12 12:30:00,2015-02-12 14:00:00,"Hilton New York, Concourse Level, Concourse G",NA,"Join your colleagues in informal discussions about the challenges, opportunities, and issues that affect your career. Roundtable leaders will address a wide range of topics that relate to career choices, professional life, and work strategies. Share your ideas, concerns, solutions, and experiences with emerging professionals and midcareer to advanced colleagues in small, open discussion groups.; Professional Networking for Artists and Art Historians; Michael Aurbach, Vanderbilt University; How Can We Make CAA More Relevant for Today’s Academic Job Seekers?Dennis Ichiyama, Purdue University; Instructors and Adjuncts: Navigating Higher Education in a Busted Economy; Peter Kaniaris, Anderson University; and Brian Curtis, University of Miami; If Not Teaching, What Then?Suzanne Lemakis, Citigroup; Balancing Your Creative and Academic Lif; eo Morrissey, Georgian Court University"
"Poster Sessions","http://conference.collegeart.org/programs/poster-sessions/","Poster Sessions",2015-02-12 12:30:00,2015-02-12 14:00:00,NA,NA,"Poster sessions are informal presentations for small groups displayed on poster boards. The poster display is usually a mixture of a brief narrative paper along with illustrations, tables or graphs, and other presentation materials. With a few concisely written areas of focus, the poster display communicates the essence of the presenter’s research, synthesizing the main ideas and research directions. Poster displays will be on view for the duration of the conference, beginning on Thursday morning. On Thursday and Friday, from 12:30 to 2:00 PM, presenters will be available at the Poster area.; Design for the World and the Locals; Chung Chak, The College of New Jersey; Decoding Disney: Translating Imagineering Tricks into Teaching Strategie; ick Charney, Kansas State University; Take(s) on Feminist Art: Coeducational Adolescents Discuss Artworks in the Elizabeth A. Sackler Center for Feminist Art at the Brooklyn Museu; heri Ehrlich, Columbia University; Millennials: Previews of Coming Attractions; Lisa Evans, University Laboratory High School and University of Illinois at Urbana-Champaign; Tweets, Secret Words, Bingos, and Blogs: Facilitating Engaged Participation in Art History Survey; arie Gasper-Hulvat, Kent State University at Stark; Portable Paris: Successful Testing of an Innovative Digital Pedagogy for Art Histor; ennifer Germann and Lauren O’Connell, Ithaca College; The Emerging Field of Surface Imagin; . J. Herczyk, Philadelphia University; Expanding Studio Culture and Self-Reflection through a Graphical Online Collaborative Too; ora Kim, Wentworth Institute of Technology; and Andrew Marcus, Nuvustudio; Momentum: Women/Art/Technolog; uriel Magenta, Arizona State University; Mapping Modernism: 1950s Routes to New Mexic; arl Schmitz, The Richard Diebenkorn Foundation; Aerial Art in the Space Age; Robert Smithson’s Geographic Imaginarie; eg Studer, City College, City University of New York; A Task Analysis of Drawin; ancy Wood, The Art Institute of Pittsburgh"
